球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
isaiah_hartenstein,以赛亚 哈尔滕施泰因,8.3,147,2.4,89,4.9,75,62.50%,-,46.70%,-,68.70%,-,1.1,14,0.7,105,0
xavier_moon,泽维尔 穆恩,5.8,-,2.4,-,1.4,-,49.00%,-,35.70%,-,60.00%,-,0.3,-,0.7,-,0
russell_westbrook,拉塞尔 威斯布鲁克,18.5,27,7.1,9,7.4,32,44.40%,65,29.80%,-,66.70%,96,0.3,105,1,49,4421
lebron_james,勒布朗 詹姆斯,30.3,-,6.2,-,8.2,-,52.40%,17,35.90%,84,75.60%,75,1.05,-,1.3,-,4118
anthony_davis,安东尼 戴维斯,23.2,-,3,-,9.8,-,53.20%,13,18.60%,-,71.30%,87,2.25,-,1.25,-,3536
talen_horton-tucker,塔伦 霍顿 塔克,10,111,2.7,74,3.2,143,41.60%,-,26.90%,-,80.00%,-,0.5,66,1,49,950
kendrick_nunn,肯德里克 纳恩,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,500
wayne_ellington,韦恩 艾灵顿,6.7,-,0.7,-,1.8,-,41.40%,-,38.90%,35,81.80%,-,0.12,-,0.53,-,264
dwight_howard,德怀特 霍华德,6.2,181,0.6,198,5.9,44,61.20%,-,53.30%,-,65.80%,-,0.6,49,0.6,135,264
carmelo_anthony,卡梅罗 安东尼,13.3,72,1,177,4.2,102,44.10%,70,37.50%,59,83.00%,45,0.8,32,0.7,105,264
kent_bazemore,肯特 贝兹莫尔,3.4,-,0.9,-,1.7,-,32.40%,-,36.20%,-,76.50%,-,0.21,-,0.62,-,240
malik_monk,马利克 蒙克,13.8,67,2.9,65,3.4,133,47.30%,39,39.10%,30,79.50%,-,0.4,82,0.8,85,179
austin_reaves,奥斯汀 里夫斯,7.3,169,1.8,121,3.2,143,45.90%,-,31.50%,-,83.90%,-,0.3,105,0.5,163,46
stanley_johnson,斯坦利 约翰逊,6.7,-,1.7,-,3.2,-,46.60%,-,31.40%,-,71.60%,-,0.31,-,0.92,-,0
mac_mcclung,马克 麦克朗,4,-,0.5,-,1.5,-,50.00%,-,33.30%,-,100%,-,0.5,-,0.5,-,0
wenyen_gabriel,韦尼恩 加布里埃尔,5.4,-,0.5,-,3.8,-,49.10%,-,28.60%,-,59.50%,-,0.42,-,0.19,-,0
mason_jones,梅森 琼斯,6.8,-,1,-,2.5,-,46.70%,-,25.00%,-,80.00%,-,0,-,0.5,-,0
avery_bradley,埃弗里 布拉德利,6.4,178,0.8,194,2.2,187,42.30%,-,39.00%,32,88.90%,-,0.2,145,0.9,64,0
d.j._augustin,DJ 奥古斯丁,5.3,-,1.9,-,1.2,-,42.30%,-,41.50%,-,88.40%,-,0.02,-,0.31,-,0
de'aaron_fox,达龙 福克斯,23.2,14,5.6,18,3.9,114,47.30%,39,29.70%,-,75.00%,79,0.4,82,1.1,31,2810
harrison_barnes,哈里森 巴恩斯,16.4,46,2.4,89,5.6,53,46.90%,44,39.40%,26,82.60%,48,0.2,145,0.7,105,2049
domantas_sabonis,多曼塔斯 萨博尼斯,18.9,-,5.2,-,12.1,-,57.20%,-,31.00%,-,74.10%,-,0.44,-,0.95,-,1856
